Timestamp,Day,City,Weather Type,Latitude,Longitude,Temperature (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Weather Condition,Rain (3h) (mm),AQI,PM2.5 (µg/m³),PM10 (µg/m³),Sunrise,Sunset
2025-04-14 00:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,23.39,23.48,23.39,23.43,65,1010,3.4,106,40,scattered clouds,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-14 03:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,25.43,25.46,25.43,26.46,55,1012,2.8,172,20,few clouds,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-14 06:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,32.13,30.74,32.13,32.13,28,1011,1.03,150,6,clear sky,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-14 09:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,33.54,31.57,33.54,33.54,21,1007,3.42,69,44,scattered clouds,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-14 12:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,31.17,29.57,31.17,31.17,26,1007,4.41,121,55,broken clouds,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-14 15:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,27.7,27.29,27.7,27.7,38,1010,6.0,141,36,scattered clouds,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-14 18:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,24.41,24.29,24.41,24.41,53,1011,2.87,131,27,scattered clouds,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-14 21:00:00,Day 1,Bengaluru,Forecast,12.9762,77.6033,23.45,23.39,23.45,23.45,59,1010,2.16,175,5,clear sky,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-15 00:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,22.99,22.91,22.99,22.99,60,1010,1.78,165,12,few clouds,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
2025-04-15 03:00:00,Day 2,Bengaluru,Forecast,12.9762,77.6033,26.67,26.91,26.67,26.67,46,1012,2.76,224,6,clear sky,0.0,3,46.05,60.06,2025-04-14 06:07:28,2025-04-14 18:31:52
